state_fips,state,state_abbr,zipcode,county,city,citylower
36,New york,NY,12208,Albany,Albany,albany
36,New york,NY,12209,Albany,Albany,albany
36,New york,NY,12210,Albany,Albany,albany
36,New york,NY,12211,Albany,Loudonville,loudonville
36,New york,NY,122HH,Albany,Zcta 122hh,zcta 122hh
36,New york,NY,12302,Schenectady,Mayfair,mayfair
36,New york,NY,12303,Schenectady,Rotterdam,rotterdam
36,New york,NY,12304,Schenectady,Schenectady,schenectady
36,New york,NY,12305,Schenectady,Schenectady,schenectady
36,New york,NY,12306,Schenectady,Schenectady,schenectady
36,New york,NY,12307,Schenectady,Schenectady,schenectady
36,New york,NY,12308,Schenectady,Schenectady,schenectady
36,New york,NY,12309,Schenectady,Niskayuna,niskayuna
36,New york,NY,123HH,Schenectady,Zcta 123hh,zcta 123hh
36,New york,NY,12401,Ulster,Eddyville,eddyville
36,New york,NY,12404,Ulster,Accord,accord
36,New york,NY,12405,Greene,Acra,acra
36,New york,NY,12406,Delaware,Arkville,arkville
36,New york,NY,12407,Greene,Ashland,ashland
36,New york,NY,12409,Ulster,Shady,shady
36,New york,NY,12410,Ulster,Oliverea,oliverea
36,New york,NY,12411,Ulster,Bloomington,bloomington
36,New york,NY,12412,Ulster,Boiceville,boiceville
36,New york,NY,12413,Greene,Cairo,cairo
36,New york,NY,12414,Greene,Catskill,catskill
36,New york,NY,12416,Ulster,Chichester,chichester
36,New york,NY,12418,Greene,Cornwallville,cornwallville
36,New york,NY,12419,Ulster,Cottekill,cottekill
36,New york,NY,12420,Ulster,Cragsmoor,cragsmoor
36,New york,NY,12421,Delaware,Denver,denver
36,New york,NY,12422,Greene,Durham,durham
36,New york,NY,12423,Greene,East durham,east durham
36,New york,NY,12424,Greene,East jewett,east jewett
36,New york,NY,12427,Greene,Elka park,elka park
36,New york,NY,12428,Ulster,Ellenville,ellenville
36,New york,NY,12429,Ulster,Esopus,esopus
36,New york,NY,12430,Delaware,Halcott center,halcott center
36,New york,NY,12431,Greene,Freehold,freehold
36,New york,NY,12433,Ulster,Glenford,glenford
36,New york,NY,12434,Delaware,Grand gorge,grand gorge
36,New york,NY,12435,Ulster,Greenfield park,greenfield park
36,New york,NY,12439,Greene,East windham,east windham
36,New york,NY,12440,Ulster,High falls,high falls
36,New york,NY,12442,Greene,Hunter,hunter
36,New york,NY,12443,Ulster,Hurley,hurley
36,New york,NY,12444,Greene,Jewett,jewett
36,New york,NY,12446,Ulster,Kerhonkson,kerhonkson
36,New york,NY,12448,Ulster,Lake hill,lake hill
36,New york,NY,12449,Ulster,Lake katrine,lake katrine
36,New york,NY,12450,Greene,Lanesville,lanesville
36,New york,NY,12451,Greene,Leeds,leeds
36,New york,NY,12454,Greene,Maplecrest,maplecrest
36,New york,NY,12455,Delaware,Kelly corners,kelly corners
36,New york,NY,12456,Ulster,Mount marion,mount marion
36,New york,NY,12457,Ulster,Mount tremper,mount tremper
36,New york,NY,12458,Ulster,Napanoch,napanoch
36,New york,NY,12459,Delaware,New kingston,new kingston
36,New york,NY,12460,Greene,Oak hill,oak hill
36,New york,NY,12461,Ulster,Krumville,krumville
36,New york,NY,12463,Greene,Palenville,palenville
36,New york,NY,12464,Ulster,Phoenicia,phoenicia
36,New york,NY,12466,Ulster,Port ewen,port ewen
36,New york,NY,12468,Greene,Prattsville,prattsville
36,New york,NY,12469,Albany,Preston hollow,preston hollow
36,New york,NY,12470,Greene,Purling,purling
36,New york,NY,12471,Ulster,Rifton,rifton
36,New york,NY,12472,Ulster,Rosendale,rosendale
36,New york,NY,12473,Greene,Round top,round top
36,New york,NY,12474,Delaware,Roxbury,roxbury
36,New york,NY,12477,Ulster,Saugerties,saugerties
36,New york,NY,12480,Ulster,Shandaken,shandaken
36,New york,NY,12481,Ulster,Shokan,shokan
36,New york,NY,12482,Greene,South cairo,south cairo
36,New york,NY,12484,Ulster,Stone ridge,stone ridge
36,New york,NY,12485,Greene,Tannersville,tannersville
36,New york,NY,12486,Ulster,Tillson,tillson
36,New york,NY,12487,Ulster,Ulster park,ulster park
36,New york,NY,12489,Ulster,Wawarsing,wawarsing
36,New york,NY,12491,Ulster,West hurley,west hurley
36,New york,NY,12492,Greene,West kill,west kill
36,New york,NY,12493,Ulster,West park,west park
